DATE,TIME,Unit1_Ch1 [V],Unit1_Ch2 [V],Unit1_Ch3 [V],Unit1_Ch4 [V],Unit1_Ch5 [V],Unit1_Ch6 [V],Unit1_Ch7 [V],Unit1_Ch8 [V],Unit1_Ch9 [V],Unit1_Ch10 [V],Unit1_Ch11 [V],Unit1_Ch12 [V],Unit1_Ch1 [A],Unit1_Ch2 [A],Unit1_Ch3 [A],Unit1_Ch4 [A],Unit1_Ch5 [A],Unit1_Ch6 [A],Unit1_Ch7 [A],Unit1_Ch8 [A],Unit1_Ch9 [A],Unit1_Ch10 [A],Unit1_Ch11 [A],Unit1_Ch12 [A]
2024-05-27,15:23:39,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31993E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,9.45000E-03,9.46000E-03,9.46000E-03,9.44000E-03,9.44000E-03,9.44000E-03,9.43000E-03,9.44000E-03,9.45000E-03,9.45000E-03,9.46000E-03,9.44000E-03
2024-05-27,15:23:39,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,9.61000E-03,9.60000E-03,9.62000E-03,9.60000E-03,9.60000E-03,9.61000E-03,9.60000E-03,9.61000E-03,9.61000E-03,9.61000E-03,9.60000E-03,9.60000E-03
2024-05-27,15:23:39,3.35996E+00,3.34993E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27008E+00,3.25996E+00,3.24996E+00,9.45000E-03,9.46000E-03,9.46000E-03,9.45000E-03,9.44000E-03,9.44000E-03,9.44000E-03,9.45000E-03,9.45000E-03,9.44000E-03,9.45000E-03,9.44000E-03
2024-05-27,15:23:40,3.35996E+00,3.34993E+00,3.34002E+00,3.33001E+00,3.31993E+00,3.30997E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24995E+00,9.33000E-03,9.32000E-03,9.33000E-03,9.32000E-03,9.31000E-03,9.32000E-03,9.32000E-03,9.31000E-03,9.32000E-03,9.32000E-03,9.32000E-03,9.32000E-03
2024-05-27,15:23:40,3.35996E+00,3.34994E+00,3.34003E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,9.09000E-03,9.10000E-03,9.09000E-03,9.08000E-03,9.08000E-03,9.08000E-03,9.08000E-03,9.08000E-03,9.08000E-03,9.09000E-03,9.09000E-03,9.08000E-03
2024-05-27,15:23:40,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31993E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,9.45000E-03,9.44000E-03,9.46000E-03,9.44000E-03,9.44000E-03,9.44000E-03,9.44000E-03,9.44000E-03,9.44000E-03,9.45000E-03,9.44000E-03,9.44000E-03
2024-05-27,15:23:40,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31993E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,8.98000E-03,8.97000E-03,8.97000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.97000E-03,8.96000E-03,8.97000E-03,8.97000E-03,8.97000E-03,8.96000E-03
2024-05-27,15:23:40,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,9.08000E-03,9.09000E-03,9.10000E-03,9.08000E-03,9.09000E-03,9.09000E-03,9.08000E-03,9.09000E-03,9.09000E-03,9.09000E-03,9.09000E-03,9.08000E-03
2024-05-27,15:23:40,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31993E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,9.45000E-03,9.45000E-03,9.45000E-03,9.44000E-03,9.44000E-03,9.44000E-03,9.44000E-03,9.44000E-03,9.44000E-03,9.45000E-03,9.45000E-03,9.43000E-03
2024-05-27,15:23:40,3.35996E+00,3.34993E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,9.09000E-03,9.09000E-03,9.10000E-03,9.08000E-03,9.07000E-03,9.08000E-03,9.08000E-03,9.09000E-03,9.10000E-03,9.09000E-03,9.08000E-03,9.08000E-03
2024-05-27,15:23:41,3.35996E+00,3.34993E+00,3.34003E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24995E+00,8.98000E-03,8.97000E-03,8.97000E-03,8.97000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.97000E-03,8.97000E-03,8.97000E-03,8.95000E-03,8.96000E-03
2024-05-27,15:23:41,3.35996E+00,3.34993E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,9.34000E-03,9.33000E-03,9.33000E-03,9.32000E-03,9.32000E-03,9.32000E-03,9.32000E-03,9.33000E-03,9.33000E-03,9.33000E-03,9.33000E-03,9.32000E-03
2024-05-27,15:23:41,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31993E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27008E+00,3.25996E+00,3.24996E+00,9.37000E-03,9.37000E-03,9.38000E-03,9.36000E-03,9.36000E-03,9.35000E-03,9.36000E-03,9.37000E-03,9.37000E-03,9.37000E-03,9.36000E-03,9.36000E-03
2024-05-27,15:23:41,3.35996E+00,3.34993E+00,3.34002E+00,3.33001E+00,3.31993E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,8.98000E-03,8.96000E-03,8.98000E-03,8.97000E-03,8.95000E-03,8.96000E-03,8.96000E-03,8.97000E-03,8.97000E-03,8.97000E-03,8.97000E-03,8.96000E-03
2024-05-27,15:23:41,3.35996E+00,3.34994E+00,3.34003E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,9.10000E-03,9.10000E-03,9.10000E-03,9.08000E-03,9.08000E-03,9.09000E-03,9.08000E-03,9.08000E-03,9.08000E-03,9.09000E-03,9.08000E-03,9.08000E-03
2024-05-27,15:23:41,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,9.46000E-03,9.45000E-03,9.45000E-03,9.45000E-03,9.44000E-03,9.44000E-03,9.44000E-03,9.44000E-03,9.46000E-03,9.44000E-03,9.45000E-03,9.44000E-03
2024-05-27,15:23:41,3.35996E+00,3.34993E+00,3.34002E+00,3.33001E+00,3.31993E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,8.97000E-03,8.97000E-03,8.97000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.97000E-03,8.97000E-03,8.97000E-03,8.95000E-03
2024-05-27,15:23:41,3.35996E+00,3.34993E+00,3.34002E+00,3.33001E+00,3.31993E+00,3.30997E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24995E+00,9.33000E-03,9.32000E-03,9.33000E-03,9.31000E-03,9.32000E-03,9.32000E-03,9.32000E-03,9.32000E-03,9.32000E-03,9.33000E-03,9.33000E-03,9.32000E-03
2024-05-27,15:23:42,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,9.09000E-03,9.08000E-03,9.10000E-03,9.08000E-03,9.08000E-03,9.08000E-03,9.08000E-03,9.08000E-03,9.09000E-03,9.09000E-03,9.08000E-03,9.07000E-03
2024-05-27,15:23:42,3.35996E+00,3.34993E+00,3.34002E+00,3.33001E+00,3.31993E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,8.97000E-03,8.96000E-03,8.97000E-03,8.97000E-03,8.96000E-03,8.96000E-03,8.97000E-03,8.96000E-03,8.97000E-03,8.97000E-03,8.97000E-03,8.96000E-03
2024-05-27,15:23:42,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30997E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,9.33000E-03,9.33000E-03,9.34000E-03,9.32000E-03,9.32000E-03,9.32000E-03,9.32000E-03,9.32000E-03,9.33000E-03,9.33000E-03,9.32000E-03,9.32000E-03
2024-05-27,15:23:42,3.35996E+00,3.34993E+00,3.34003E+00,3.33001E+00,3.31993E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,8.97000E-03,8.97000E-03,8.97000E-03,8.96000E-03,8.96000E-03,8.95000E-03,8.96000E-03,8.95000E-03,8.97000E-03,8.97000E-03,8.96000E-03,8.95000E-03
2024-05-27,15:23:42,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,9.45000E-03,9.45000E-03,9.46000E-03,9.44000E-03,9.44000E-03,9.45000E-03,9.44000E-03,9.44000E-03,9.45000E-03,9.45000E-03,9.45000E-03,9.44000E-03
2024-05-27,15:23:42,3.35996E+00,3.34993E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,8.97000E-03,8.96000E-03,8.97000E-03,8.95000E-03,8.96000E-03,8.97000E-03,8.96000E-03,8.96000E-03,8.97000E-03,8.96000E-03,8.97000E-03,8.96000E-03
2024-05-27,15:23:42,3.35996E+00,3.34993E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30997E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,8.97000E-03,8.97000E-03,8.97000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.97000E-03,8.97000E-03,8.97000E-03,8.97000E-03,8.95000E-03
2024-05-27,15:23:43,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30997E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,1.00300E-02,1.00200E-02,1.00200E-02,1.00100E-02,1.00100E-02,1.00100E-02,1.00100E-02,1.00100E-02,1.00200E-02,1.00100E-02,1.00100E-02,1.00000E-02
2024-05-27,15:23:43,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,8.97000E-03,8.97000E-03,8.97000E-03,8.95000E-03,8.96000E-03,8.95000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.97000E-03,8.97000E-03,8.95000E-03
2024-05-27,15:23:43,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31993E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,9.62000E-03,9.62000E-03,9.64000E-03,9.61000E-03,9.61000E-03,9.61000E-03,9.62000E-03,9.61000E-03,9.62000E-03,9.62000E-03,9.62000E-03,9.61000E-03
2024-05-27,15:23:43,3.35996E+00,3.34994E+00,3.34003E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,8.98000E-03,8.96000E-03,8.97000E-03,8.96000E-03,8.95000E-03,8.97000E-03,8.96000E-03,8.96000E-03,8.97000E-03,8.97000E-03,8.96000E-03,8.96000E-03
2024-05-27,15:23:43,3.35996E+00,3.34993E+00,3.34002E+00,3.33001E+00,3.31993E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,1.00200E-02,1.00200E-02,1.00300E-02,1.00100E-02,1.00100E-02,1.00100E-02,1.00100E-02,1.00100E-02,1.00200E-02,1.00200E-02,1.00100E-02,1.00000E-02
2024-05-27,15:23:43,3.35996E+00,3.34993E+00,3.34002E+00,3.33001E+00,3.31993E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,9.33000E-03,9.33000E-03,9.34000E-03,9.32000E-03,9.32000E-03,9.33000E-03,9.32000E-03,9.32000E-03,9.33000E-03,9.33000E-03,9.33000E-03,9.32000E-03
2024-05-27,15:23:43,3.35996E+00,3.34993E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,8.97000E-03,8.97000E-03,8.98000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.97000E-03,8.98000E-03,8.97000E-03,8.96000E-03,8.96000E-03
2024-05-27,15:23:43,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31993E+00,3.30997E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,8.97000E-03,8.97000E-03,8.98000E-03,8.97000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.97000E-03,8.97000E-03,8.97000E-03,8.98000E-03,8.96000E-03
2024-05-27,15:23:44,3.35996E+00,3.34994E+00,3.34002E+00,3.33000E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,8.98000E-03,8.97000E-03,8.97000E-03,8.96000E-03,8.96000E-03,8.97000E-03,8.96000E-03,8.96000E-03,8.97000E-03,8.96000E-03,8.97000E-03,8.96000E-03
2024-05-27,15:23:44,3.35996E+00,3.34993E+00,3.34003E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,9.45000E-03,9.45000E-03,9.46000E-03,9.44000E-03,9.44000E-03,9.44000E-03,9.44000E-03,9.45000E-03,9.46000E-03,9.45000E-03,9.45000E-03,9.43000E-03
2024-05-27,15:23:44,3.35996E+00,3.34993E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30997E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,8.97000E-03,8.97000E-03,8.97000E-03,8.96000E-03,8.97000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.97000E-03,8.97000E-03,8.97000E-03,8.96000E-03
2024-05-27,15:23:44,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30997E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,9.10000E-03,9.07000E-03,9.09000E-03,9.08000E-03,9.08000E-03,9.08000E-03,9.07000E-03,9.08000E-03,9.09000E-03,9.08000E-03,9.08000E-03,9.08000E-03
2024-05-27,15:23:44,3.35996E+00,3.34994E+00,3.34003E+00,3.33001E+00,3.31993E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,8.97000E-03,8.97000E-03,8.97000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.97000E-03,8.96000E-03,8.97000E-03,8.96000E-03
2024-05-27,15:23:44,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,9.46000E-03,9.46000E-03,9.46000E-03,9.44000E-03,9.45000E-03,9.44000E-03,9.44000E-03,9.44000E-03,9.45000E-03,9.44000E-03,9.45000E-03,9.44000E-03
2024-05-27,15:23:44,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,9.09000E-03,9.09000E-03,9.09000E-03,9.07000E-03,9.07000E-03,9.08000E-03,9.07000E-03,9.07000E-03,9.09000E-03,9.08000E-03,9.09000E-03,9.07000E-03
2024-05-27,15:23:45,3.35996E+00,3.34993E+00,3.34002E+00,3.33001E+00,3.31993E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,1.00200E-02,1.00200E-02,1.00300E-02,1.00100E-02,1.00100E-02,1.00100E-02,1.00100E-02,1.00100E-02,1.00200E-02,1.00100E-02,1.00100E-02,1.00100E-02
2024-05-27,15:23:45,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,9.09000E-03,9.09000E-03,9.09000E-03,9.08000E-03,9.07000E-03,9.07000E-03,9.08000E-03,9.08000E-03,9.08000E-03,9.08000E-03,9.08000E-03,9.07000E-03
2024-05-27,15:23:45,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31993E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24995E+00,8.98000E-03,8.97000E-03,8.97000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.95000E-03,8.96000E-03,8.97000E-03,8.97000E-03,8.97000E-03,8.96000E-03
2024-05-27,15:23:45,3.35996E+00,3.34993E+00,3.34003E+00,3.33001E+00,3.31993E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,9.34000E-03,9.34000E-03,9.35000E-03,9.33000E-03,9.32000E-03,9.33000E-03,9.34000E-03,9.33000E-03,9.34000E-03,9.33000E-03,9.33000E-03,9.33000E-03
2024-05-27,15:23:45,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,8.97000E-03,8.97000E-03,8.98000E-03,8.96000E-03,8.95000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.97000E-03,8.97000E-03,8.96000E-03,8.96000E-03
2024-05-27,15:23:45,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31993E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27008E+00,3.25996E+00,3.24996E+00,8.98000E-03,8.96000E-03,8.98000E-03,8.96000E-03,8.97000E-03,8.96000E-03,8.95000E-03,8.96000E-03,8.97000E-03,8.97000E-03,8.96000E-03,8.95000E-03
2024-05-27,15:23:45,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30997E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27008E+00,3.25996E+00,3.24996E+00,9.09000E-03,9.09000E-03,9.10000E-03,9.07000E-03,9.07000E-03,9.08000E-03,9.08000E-03,9.08000E-03,9.08000E-03,9.09000E-03,9.08000E-03,9.07000E-03
2024-05-27,15:23:46,3.35996E+00,3.34994E+00,3.34003E+00,3.33001E+00,3.31993E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,1.00300E-02,1.00100E-02,1.00300E-02,1.00100E-02,1.00100E-02,1.00000E-02,1.00100E-02,1.00100E-02,1.00200E-02,1.00200E-02,1.00100E-02,1.00100E-02
2024-05-27,15:23:46,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31993E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,9.34000E-03,9.34000E-03,9.34000E-03,9.33000E-03,9.33000E-03,9.33000E-03,9.33000E-03,9.32000E-03,9.34000E-03,9.34000E-03,9.33000E-03,9.32000E-03
2024-05-27,15:23:46,3.35996E+00,3.34993E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30997E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,8.98000E-03,8.97000E-03,8.97000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.95000E-03,8.96000E-03,8.96000E-03,8.97000E-03,8.97000E-03,8.95000E-03
2024-05-27,15:23:46,3.35996E+00,3.34994E+00,3.34003E+00,3.33001E+00,3.31993E+00,3.30997E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,9.46000E-03,9.45000E-03,9.45000E-03,9.44000E-03,9.44000E-03,9.44000E-03,9.44000E-03,9.44000E-03,9.44000E-03,9.45000E-03,9.44000E-03,9.44000E-03
2024-05-27,15:23:46,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31993E+00,3.30998E+00,3.29997E+00,3.29001E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,9.35000E-03,9.34000E-03,9.35000E-03,9.34000E-03,9.33000E-03,9.32000E-03,9.33000E-03,9.33000E-03,9.34000E-03,9.33000E-03,9.33000E-03,9.32000E-03
2024-05-27,15:23:46,3.35996E+00,3.34993E+00,3.34003E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27008E+00,3.25996E+00,3.24996E+00,9.08000E-03,9.08000E-03,9.09000E-03,9.07000E-03,9.08000E-03,9.08000E-03,9.08000E-03,9.08000E-03,9.08000E-03,9.08000E-03,9.08000E-03,9.06000E-03
2024-05-27,15:23:46,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27008E+00,3.25996E+00,3.24996E+00,9.46000E-03,9.45000E-03,9.46000E-03,9.44000E-03,9.44000E-03,9.44000E-03,9.44000E-03,9.45000E-03,9.45000E-03,9.46000E-03,9.44000E-03,9.44000E-03
2024-05-27,15:23:46,3.35996E+00,3.34993E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,8.98000E-03,8.97000E-03,8.98000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.97000E-03,8.97000E-03,8.97000E-03,8.97000E-03,8.96000E-03
2024-05-27,15:23:47,3.35996E+00,3.34993E+00,3.34002E+00,3.33001E+00,3.31993E+00,3.30997E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,9.34000E-03,9.34000E-03,9.35000E-03,9.34000E-03,9.33000E-03,9.34000E-03,9.33000E-03,9.32000E-03,9.33000E-03,9.34000E-03,9.33000E-03,9.33000E-03
2024-05-27,15:23:47,3.35996E+00,3.34993E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27008E+00,3.25996E+00,3.24996E+00,9.46000E-03,9.45000E-03,9.46000E-03,9.44000E-03,9.44000E-03,9.45000E-03,9.44000E-03,9.45000E-03,9.45000E-03,9.45000E-03,9.45000E-03,9.44000E-03
2024-05-27,15:23:47,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,8.98000E-03,8.96000E-03,8.98000E-03,8.96000E-03,8.96000E-03,8.97000E-03,8.97000E-03,8.96000E-03,8.97000E-03,8.96000E-03,8.96000E-03,8.96000E-03
2024-05-27,15:23:47,3.35996E+00,3.34993E+00,3.34002E+00,3.33001E+00,3.31993E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,9.35000E-03,9.34000E-03,9.35000E-03,9.33000E-03,9.33000E-03,9.33000E-03,9.33000E-03,9.33000E-03,9.34000E-03,9.33000E-03,9.34000E-03,9.32000E-03
2024-05-27,15:23:47,3.35996E+00,3.34993E+00,3.34002E+00,3.33001E+00,3.31993E+00,3.30997E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,8.97000E-03,8.96000E-03,8.98000E-03,8.96000E-03,8.96000E-03,8.97000E-03,8.95000E-03,8.96000E-03,8.97000E-03,8.96000E-03,8.96000E-03,8.95000E-03
2024-05-27,15:23:47,3.35996E+00,3.34993E+00,3.34002E+00,3.33001E+00,3.31993E+00,3.30998E+00,3.29996E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,8.98000E-03,8.97000E-03,8.98000E-03,8.96000E-03,8.95000E-03,8.96000E-03,8.95000E-03,8.96000E-03,8.97000E-03,8.97000E-03,8.96000E-03,8.95000E-03
2024-05-27,15:23:47,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30997E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27008E+00,3.25996E+00,3.24996E+00,9.08000E-03,9.08000E-03,9.09000E-03,9.07000E-03,9.06000E-03,9.07000E-03,9.07000E-03,9.08000E-03,9.09000E-03,9.08000E-03,9.07000E-03,9.07000E-03
2024-05-27,15:23:47,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27008E+00,3.25996E+00,3.24996E+00,8.97000E-03,8.97000E-03,8.97000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.97000E-03,8.97000E-03,8.96000E-03,8.95000E-03
2024-05-27,15:23:48,3.35996E+00,3.34993E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30997E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,9.35000E-03,9.34000E-03,9.35000E-03,9.33000E-03,9.33000E-03,9.33000E-03,9.33000E-03,9.32000E-03,9.34000E-03,9.34000E-03,9.34000E-03,9.33000E-03
2024-05-27,15:23:48,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,8.97000E-03,8.97000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.97000E-03,8.96000E-03,8.96000E-03,8.97000E-03,8.96000E-03,8.96000E-03,8.96000E-03
2024-05-27,15:23:48,3.35996E+00,3.34994E+00,3.34002E+00,3.33001E+00,3.31994E+00,3.30998E+00,3.29997E+00,3.29002E+00,3.28001E+00,3.27007E+00,3.25996E+00,3.24996E+00,8.98000E-03,8.97000E-03,8.98000E-03,8.97000E-03,8.96000E-03,8.96000E-03,8.96000E-03,8.97000E-03,8.96000E-03,8.97000E-03,8.97000E-03,8.96000E-03
